echogramName,fishDate,strtFishTime,stpFishTime,strtFishLat,stpFishLat,strtFishLong,stpFishLong,strtFishDepth,stpFishDepth,bottomDepth
echogram_20010704_120949_0038.gif,20010704,144000,153000,58.6533 ,58.6534 ,-2.0667 ,-2.1113 ,69,69,80
echogram_20010704_183405_0038.gif,20010704,193000,201500,58.6613 ,58.6587 ,-1.1208 ,-1.2170 ,87,87,102
echogram_20010705_053445_0038.gif,20010705,64500,,58.5383 ,58.5382 ,-0.3427 ,-0.1996 ,100,114,130
echogram_20010705_094916_0038.gif,20010705,102500,112500,58.5340 ,58.5189 ,-0.9503 ,-0.9346 ,100,100,115
echogram_20010705_143514_0038.gif,20010705,132000,,58.7682 ,58.7655 ,-0.7057 ,-0.8353 ,112,112,128
echogram_20010706_032847_0038.gif,20010706,31500,42000,58.6458 ,58.6487 ,1.2235 ,1.0298 ,108,108,121
echogram_20010706_171636_0038.gif,20010706,165500,163500,58.9027 ,58.9014 ,-1.7410 ,-1.6560 ,81,86,100
echogram_20010707_042120_0038.gif,20010707,42000,50000,59.1525 ,59.1620 ,-1.6243 ,-1.7315 ,80,74,95
echogram_20010707_121842_0038.gif,20010707,120000,124000,59.0318 ,59.0237 ,-1.1378 ,-0.0513 ,117,117,128
echogram_20010708_160527_0038.gif,20010708,170000,175500,59.4000 ,59.3954 ,-1.2833 ,-1.1830 ,97,107,105
echogram_20010709_021214_0038.gif,20010709,24500,32500,59.4722 ,59.5019 ,2.3450 ,2.3450 ,56,65,95
echogram_20010709_084849_0038.gif,20010709,83500,93500,59.6502 ,59.6525 ,-1.0863 ,-1.1755 ,108,97,112
echogram_20010710_084939_0038.gif,20010710,113000,121000,59.9057 ,59.9157 ,-0.5920 ,-0.7376 ,123,113,130
echogram_20010710_161427_0038.gif,20010710,161500,165000,60.0310 ,60.0459 ,-0.6842 ,-0.7878 ,103,103,117
echogram_20010710_202430_0038.gif,20010710,200000,202500,60.0863 ,60.0551 ,0.0023 ,0.0026 ,122,122,130
echogram_20010711_033315_0038.gif,20010711,32500,40500,60.2845 ,60.2808 ,-0.3053 ,-0.2040 ,115,115,130
echogram_20010711_085550_0038.gif,20010711,84800,93000,60.1542 ,60.1468 ,-0.7960 ,-0.9033 ,100,100,115
echogram_20010712_043434_0038.gif,20010712,43600,52900,60.4007 ,60.4035 ,-0.0020 ,0.1291 ,114,130,140
echogram_20010712_084228_0038.gif,20010712,84000,92000,60.4947 ,60.3783 ,-0.5283 ,-0.5700 ,123,103,125
echogram_20010712_131341_0038.gif,20010712,124500,,60.5283 ,,-0.9022 ,,91,106,120
echogram_20010712_182823_0038.gif,20010712,180200,,60.5348 ,60.5255 ,0.4938 ,0.4598 ,125,125,143
echogram_20010714_122413_0038.gif,20010714,121000,122500,60.6462 ,60.6473 ,-0.4038 ,-0.4713 ,126,126,140
echogram_20010714_152155_0038.gif,20010714,160900,,60.6447 ,60.4771 ,0.2140 ,0.1120 ,130,111,140
echogram_20010714_170743_0038.gif,20010714,174000,181000,60.6495 ,60.6420 ,0.3205 ,0.2080 ,131,131,145
echogram_20010715_051118_0038.gif,20010715,44300,45200,60.8945 ,60.8920 ,-0.5867 ,-0.8971 ,104,104,125
echogram_20010715_103302_0038.gif,20010715,101200,,60.7878 ,60.7826 ,0.1378 ,0.0318 ,131,131,147
echogram_20010715_200315_0038.gif,20010715,193000,195500,60.7820 ,60.7828 ,1.2672 ,1.2405 ,133,133,147
echogram_20010716_052737_0038.gif,20010716,50000,52900,61.0497 ,61.0428 ,1.0932 ,1.1681 ,138,139,157
echogram_20010716_094011_0038.gif,20010716,92000,94200,61.0335 ,61.0335 ,0.0237 ,0.0886 ,126,118,146
echogram_20010716_142932_0038.gif,20010716,140600,144300,61.2877 ,61.2356 ,-0.7490 ,-0.7431 ,153,153,173
echogram_20010716_162824_0038.gif,20010716,161800,170900,61.2815 ,61.2855 ,-0.5840 ,-0.7241 ,156,156,174
echogram_20010717_140052_0038.gif,20010717,135000,145000,61.0367 ,61.0385 ,-1.6243 ,-1.4951 ,145,137,166
echogram_20010717_195856_0038.gif,20010717,195200,204000,60.8983 ,60.8938 ,-1.8510 ,-2.0041 ,118,118,132
echogram_20010718_035258_0038.gif,20010718,34300,44000,60.9107 ,60.8946 ,-0.9822 ,-1.1290 ,91,91,105
echogram_20010718_072658_0038.gif,20010718,70500,71800,60.7903 ,60.7793 ,-1.1625 ,-1.1275 ,83,83,95
echogram_20010718_160021_0038.gif,20010718,154800,162800,60.6578 ,60.6446 ,-2.1942 ,-2.2995 ,132,124,145
echogram_20010718_192836_0038.gif,20010718,191500,,60.6600 ,,-1.6335 ,,86,104,115
echogram_20010719_042040_0038.gif,20010719,41000,44100,60.5423 ,60.5310 ,-2.3940 ,-2.3255 ,120,120,145
echogram_20010719_102119_0038.gif,20010719,104000,110000,60.3962 ,60.3978 ,-2.5725 ,-2.5386 ,149,143,160
echogram_20010719_172337_0038.gif,20010719,170500,173500,60.1718 ,60.1646 ,-1.9773 ,-1.9015 ,54,63,72
echogram_20010720_030203_0038.gif,20010720,40000,45500,60.1495 ,60.1385 ,-3.3452 ,-3.4598 ,122,122,136
echogram_20010720_102704_0038.gif,20010720,101200,105800,59.8887 ,59.8715 ,-2.8660 ,-2.9785 ,65,61,85
echogram_20010720_150343_0038.gif,20010720,144200,151500,59.9010 ,59.9010 ,-1.9438 ,-2.0195 ,101,82,120
echogram_20010721_065808_0038.gif,20010721,64200,70800,59.7875 ,59.7973 ,-3.7807 ,-3.8453 ,125,122,139
echogram_20010721_113408_0038.gif,20010721,105500,113700,59.5873 ,59.6211 ,-3.0018 ,-2.9955 ,65,73,85
echogram_20010721_152508_0038.gif,20010721,150000,152800,59.5320 ,59.5348 ,-3.7992 ,-3.7523 ,150,150,163
echogram_20020628_124235_0038.gif,20020628,141700,144500,58.1663 ,58.1612 ,0.4883 ,0.3998 ,139,136,150
echogram_20020628_180421_0038.gif,20020628,193000,200000,58.1862 ,58.1687 ,1.4592 ,1.4035 ,95,100,106
echogram_20020629_045642_0038.gif,20020629,55600,61600,58.4177 ,58.4150 ,0.5350 ,0.5750 ,137,137,150
echogram_20020630_102232_0038.gif,20020630,110300,112500,58.6688 ,58.6700 ,-1.0370 ,-1.0733 ,100,103,115
echogram_20020630_140542_0038.gif,20020630,152500,155000,58.6635 ,58.6618 ,-0.0220 ,-0.0798 ,130,133,147
echogram_20020630_180322_0038.gif,20020630,191200,193500,58.6642 ,58.6695 ,0.6148 ,0.5593 ,133,133,147
echogram_20020701_055454_0038.gif,20020701,71900,74900,58.9115 ,58.9213 ,0.6455 ,0.7225 ,117,121,135
echogram_20020701_122654_0038.gif,20020701,135200,143700,58.9132 ,58.9107 ,-0.9220 ,-0.8282 ,115,115,127
echogram_20020701_172146_0038.gif,20020701,182000,183500,58.9167 ,58.9145 ,-1.8220 ,-1.7867 ,81,78,93
echogram_20020702_055438_0038.gif,20020702,64700,70900,59.1652 ,59.1602 ,-1.4743 ,-1.5225 ,89,89,105
echogram_20020702_085046_0038.gif,20020702,101000,104400,59.1712 ,59.1670 ,-0.7740 ,-0.8613 ,115,123,132
echogram_20020702_115249_0038.gif,20020702,124000,132600,59.1665 ,59.1707 ,-0.4073 ,-0.5402 ,15,15,142
echogram_20020702_150522_0038.gif,20020702,160500,162000,59.1647 ,59.1663 ,0.0287 ,-0.0130 ,126,130,140
echogram_20020702_203659_0038.gif,20020702,212900,215300,58.4443 ,58.4343 ,-5.5063 ,-5.5438 ,90,82.5,105
echogram_20020703_032113_0038.gif,20020703,42500,50000,59.4133 ,59.4133 ,1.4867 ,1.5665 ,50,50,105
echogram_20020703_092427_0038.gif,20020703,104500,111000,59.4252 ,59.4245 ,-0.0458 ,-0.0172 ,119,122,131
echogram_20020703_121222_0038.gif,20020703,131000,132700,59.4122 ,59.4108 ,-0.3513 ,-0.3078 ,119,123,131
echogram_20020703_153328_0038.gif,20020703,164500,170200,59.4143 ,59.4118 ,-1.1655 ,-1.1168 ,110,110,120
echogram_20020703_174724_0038.gif,20020703,182000,184400,57.2038 ,57.1913 ,-6.8210 ,-6.8597 ,32,40,100
echogram_20020703_195153_0038.gif,20020703,205200,210900,59.4167 ,59.4142 ,-2.1963 ,-2.1522 ,62,66,76
echogram_20020704_055755_0038.gif,20020704,63100,65200,56.4773 ,56.5007 ,-6.6025 ,-6.5838 ,15,15,45
echogram_20020704_072641_0038.gif,20020704,81800,84400,59.6565 ,59.6550 ,-0.6085 ,-0.6853 ,123,116,136
echogram_20020704_095946_0038.gif,20020704,105000,111500,56.0682 ,56.0668 ,-7.0412 ,-7.0002 ,77,77,87
echogram_20020704_131844_0038.gif,20020704,142500,150000,59.6653 ,59.6655 ,1.0130 ,0.9177 ,106,106,119
echogram_20020704_154205_0038.gif,20020704,174000,181000,59.6667 ,59.6658 ,1.1500 ,1.0947 ,80,81,114
echogram_20020704_201954_0038.gif,20020704,195700,202800,56.3168 ,56.3145 ,-8.6768 ,-8.7327 ,119,119,131
echogram_20020705_052434_0038.gif,20020705,64000,72500,59.9087 ,59.9060 ,0.2260 ,0.3592 ,117,102,133
echogram_20020705_091927_0038.gif,20020705,102200,110500,59.9165 ,59.9158 ,-0.1005 ,0.0178 ,124,135,139
echogram_20020705_142128_0038.gif,20020705,153000,153300,59.9172 ,59.9170 ,-1.2020 ,-1.1898 ,77,84,90
echogram_20020705_162504_0038.gif,20020705,165500,173200,56.6545 ,56.6545 ,-8.5762 ,-8.6417 ,118,118,120
echogram_20020705_175658_0038.gif,20020705,190700,200000,60.0492 ,60.0495 ,-0.4997 ,-0.6543 ,114,103,135
echogram_20020705_201213_0038.gif,20020705,212700,215500,60.0480 ,60.0482 ,-0.4197 ,-0.5002 ,120,110,135
echogram_20020706_025312_0038.gif,20020706,35500,43000,60.0465 ,60.0522 ,0.0733 ,-0.0242 ,145,128,162
echogram_20020706_091307_0038.gif,20020706,104000,111500,60.3452 ,60.2995 ,-0.5370 ,-0.6178 ,83,95,135
echogram_20020706_170942_0038.gif,20020706,174100,182300,56.7813 ,56.7818 ,-8.1748 ,-8.1003 ,112,112,120
echogram_20020706_173142_0038.gif,20020706,184500,190000,60.1638 ,60.1637 ,0.8012 ,0.7595 ,140,140,153
echogram_20020706_202249_0038.gif,20020706,195100,203000,56.7827 ,56.7797 ,-8.7463 ,-8.6792 ,106,106,120
echogram_20020707_043833_0038.gif,20020707,51100,55900,56.9103 ,56.9070 ,-8.7718 ,-8.8495 ,110,110,120
echogram_20020707_062311_0038.gif,20020707,72200,73200,60.4082 ,60.4068 ,0.6130 ,0.6447 ,116,123,127
echogram_20020707_072842_0038.gif,20020707,81700,90500,56.9097 ,56.9105 ,-8.3435 ,-8.4247 ,106,106,130
echogram_20020707_121027_0038.gif,20020707,131200,133000,60.5163 ,60.4958 ,-0.8622 ,-0.8267 ,105,90,119
echogram_20020707_142131_0038.gif,20020707,151500,155400,57.0332 ,57.0332 ,-8.3838 ,-8.3085 ,122,122,130
echogram_20020707_143254_0038.gif,20020707,153500,153600,60.5527 ,60.5643 ,-0.5528 ,-0.5650 ,115,122,135
echogram_20020707_192058_0038.gif,20020707,195800,203500,57.1435 ,57.1418 ,-9.2485 ,-9.2223 ,30,23,216
echogram_20020707_210256_0038.gif,20020707,213600,221700,57.1553 ,57.1562 ,-9.0632 ,-9.1285 ,126,135,150
echogram_20020708_180630_0038.gif,20020708,184000,192100,57.5638 ,57.5702 ,-8.9073 ,-8.9718 ,125,125,150
echogram_20020708_204831_0038.gif,20020708,212300,215700,57.5650 ,57.5627 ,-8.4553 ,-8.5157 ,131,131,157
echogram_20020709_102320_0038.gif,20020709,105200,111900,57.8155 ,57.8160 ,-8.5315 ,-8.4818 ,42,53,53
echogram_20020709_111151_0038.gif,20020709,120700,123500,60.6608 ,60.6670 ,-0.4655 ,-0.5435 ,115,106,138
echogram_20020709_114015_0038.gif,20020709,121100,124100,57.8038 ,57.8147 ,-8.3315 ,-8.3798 ,103,103,119
echogram_20020709_144615_0038.gif,20020709,154400,155300,60.6675 ,60.6675 ,0.2595 ,0.2353 ,128,128,143
echogram_20020709_174230_0038.gif,20020709,183000,183700,60.6720 ,60.6735 ,0.9328 ,0.9122 ,138,140,155
echogram_20020709_200033_0038.gif,20020709,203800,212200,58.0322 ,58.0318 ,-8.3070 ,-8.3798 ,110,128,137
echogram_20020710_043310_0038.gif,20020710,54300,62300,60.9197 ,60.9132 ,0.9038 ,1.0142 ,132,127,146
echogram_20020710_053737_0038.gif,20020710,62300,71500,58.0328 ,58.0413 ,-7.2902 ,-7.3800 ,46,87,97
echogram_20020710_092737_0038.gif,20020710,103000,105400,60.9122 ,60.9083 ,-0.2160 ,-0.1523 ,149,149,165
echogram_20020710_123210_0038.gif,20020710,125600,131600,58.1560 ,58.1573 ,-8.2083 ,-8.1705 ,101,110,130
echogram_20020710_155644_0038.gif,20020710,164800,171700,60.8032 ,60.8023 ,0.2645 ,0.1858 ,131,117,145
echogram_20020710_183059_0038.gif,20020710,192000,194400,58.2818 ,58.2848 ,-8.2785 ,-8.3212 ,113,132,137
echogram_20020711_040331_0038.gif,20020711,51200,55400,61.0518 ,61.0483 ,-0.6547 ,-0.5302 ,144,131,160
echogram_20020711_043024_0038.gif,20020711,83300,90200,58.2813 ,58.2878 ,-7.2100 ,-7.1513 ,77,111,110
echogram_20020711_084242_0038.gif,20020711,94100,95300,61.1630 ,61.1660 ,-0.1753 ,-0.2093 ,139,139,154
echogram_20020711_132102_0038.gif,20020711,143000,143600,61.1657 ,61.1592 ,1.0120 ,1.0142 ,145,145,158
echogram_20020711_164237_0038.gif,20020711,171400,174000,58.5643 ,58.5640 ,-7.6833 ,-7.7283 ,127,127,137
echogram_20020712_082233_0038.gif,20020712,91500,93800,61.4188 ,61.4190 ,-0.0695 ,0.0043 ,165,165,180
echogram_20020712_180628_0038.gif,20020712,190900,194200,61.1632 ,61.1688 ,-0.8840 ,-0.9748 ,142,142,156
echogram_20020713_073638_0038.gif,20020713,84500,91400,60.9162 ,60.9213 ,-1.4055 ,-1.4845 ,97,97,114
echogram_20020713_105115_0038.gif,20020713,115000,120200,60.8692 ,60.8853 ,-0.9773 ,-0.9932 ,92,98,105
echogram_20020713_200755_0038.gif,20020713,204100,210400,58.7825 ,58.7830 ,-5.7707 ,-5.7268 ,92,100,108
echogram_20020714_015355_0038.gif,20020714,30400,33200,60.6682 ,60.6745 ,-1.6050 ,-1.6847 ,82,82,106
echogram_20020714_060421_0038.gif,20020714,64000,72000,58.7792 ,58.7832 ,-7.3845 ,-7.3007 ,90,90,100
echogram_20020714_093043_0038.gif,20020714,104000,104300,60.5538 ,60.5538 ,-2.7057 ,-2.7140 ,123,123,130
echogram_20020714_112014_0038.gif,20020714,115400,123000,58.9087 ,58.9095 ,-6.8278 ,-6.8887 ,134,150,160
echogram_20020714_132948_0038.gif,20020714,135500,141500,58.9082 ,58.9080 ,-6.5623 ,-6.6027 ,110,95,120
echogram_20020714_170739_0038.gif,20020714,180200,181300,60.4173 ,60.4170 ,-2.0978 ,-2.1277 ,101,105,114
echogram_20020714_191334_0038.gif,20020714,200700,202200,60.4153 ,60.4153 ,-1.7490 ,-1.7907 ,61,83,88
echogram_20020715_042428_0038.gif,20020715,45700,52800,58.8153 ,58.8152 ,-3.7640 ,-3.8328 ,81,86,92
echogram_20020715_064315_0038.gif,20020715,71800,80600,58.8793 ,58.8842 ,-3.5005 ,-3.5052 ,15,11,73
echogram_20020715_072005_0038.gif,20020715,83700,84600,60.3010 ,60.3037 ,-3.6967 ,-3.6665 ,134,129,145
echogram_20020715_193225_0038.gif,20020715,200700,204400,59.0285 ,59.0308 ,-6.8362 ,-6.7625 ,151,152,157
echogram_20020716_045626_0038.gif,20020716,54600,62300,59.1577 ,59.1615 ,-6.6920 ,-6.7607 ,120,130,135
echogram_20020716_080843_0038.gif,20020716,85200,92600,59.1575 ,59.1613 ,-6.1873 ,-6.1217 ,47,78,87
echogram_20020716_133103_0038.gif,20020716,140700,151400,59.2815 ,59.2357 ,-4.9582 ,-4.9973 ,99,107,115
echogram_20020716_184941_0038.gif,20020716,192300,194800,59.2820 ,59.2833 ,-3.8525 ,-3.9015 ,123,123,134
echogram_20020717_041815_0038.gif,20020717,51600,54500,59.4058 ,59.4072 ,-3.2497 ,-3.3048 ,57,57,66
echogram_20020717_070359_0038.gif,20020717,73900,81600,59.4065 ,59.4065 ,-3.7613 ,-3.6993 ,136,140,140
echogram_20020717_200232_0038.gif,20020717,202500,215400,59.5652 ,59.5632 ,-5.9747 ,-5.9423 ,115,124,125
echogram_20020718_052917_0038.gif,20020718,55800,61900,59.5662 ,59.5667 ,-5.1555 ,-5.1945 ,119,124,135
echogram_20020718_075242_0038.gif,20020718,82400,85300,59.5322 ,59.5317 ,-4.7015 ,-4.7623 ,100,111,121
echogram_20020718_110550_0038.gif,20020718,114200,120700,59.5327 ,59.5333 ,-3.9773 ,-4.0272 ,115,115,125
echogram_20020719_091221_0038.gif,20020719,94300,101900,59.6558 ,59.6562 ,-4.6682 ,-4.6067 ,80,89,100
echogram_20020719_155550_0038.gif,20020719,162300,164900,59.7820 ,59.7805 ,-3.8200 ,-3.8677 ,123,123,134
echogram_20020720_043352_0038.gif,20020720,51200,53200,59.9078 ,59.9072 ,-2.3362 ,-2.2918 ,89,89,99
echogram_20020720_105138_0038.gif,20020720,113200,125100,59.9980 ,60.0068 ,-4.0085 ,-4.0315 ,62,120,126
