Species Code,Scientific Name,English  Name ,Image Filename,
10003,Petromyzon marinus,Sea lamprey,image10003.jpg,
10134,Clupea harengus,Herring,image10134.jpg,
10138,Alosa fallax,Twaite shad,image10138.jpg,
10152,Sardina pilchardus,Sardine,image10152.jpg,
10153,Sprattus sprattus,Sprat,image10153.jpg,
10156,Engraulis encrasicolus,Anchovy,image10156.jpg,
10168,Mallotus villosus,Capelin,image10168.jpg,
10171,Argentina spp,Argentine,image10171.jpg,
10177,Maurolicus muelleri,Silvery lightfish,image10177.jpg,
10182,Lampanyctus crocodilus,,image10182.jpg,
10225,Belone bellone,Gar-fish/long-nose,image10225.jpg,
10251,Gadiculus argenteus,Silver pout,image10251.jpg,
10255,Gadus morhua,Cod,image10255.jpg,
10265,Melanogrammus aeglefinus,Haddock,image10265.jpg,
10266,Gaidropsarus mediterraneus,Sea loach,image10266.jpg,
10269,Pollachius virens,Saithe,image10269.jpg,
10274,Trisopterus esmarki,Norway pout,image10274.jpg,
10275,Trisopterus minutus,T.minutus,image10275.jpg,
10276,Trisopterus luscus,Pouting,image10276.jpg,
10277,Micromesistius poutassou,Bl whiting,image10277.jpg,
10279,Merlangius merlangus,Whiting,image10279.jpg,
10283,Merluccius merluccius,Hake,image10283.jpg,
10310,Macroramphosus scolopax,Longspine snipefish,image10310.jpg,
10323,Capros aper,Boarfish,image10323.jpg,
10331,Chelon labrosus,Thicklip grey mullet,image10331.jpg,
10351,Hyperoplus lanceolatus,,image10351.jpg,
10398,Dicentrarchus labrax,Bass,image10398.jpg,
10414,Trachurus trachurus,Horse mackerel,image10414.jpg,
10416,Trachurus mediterraneus,Mediterranean horse mackerel,image10416.jpg,
10495,Diplodus vulgaris,Common two-banded seabream,image10495.jpg,
10507,Spondyliosoma cantharus,Black seabream,image10507.jpg,
10522,Boops boops,Bogue,image10522.jpg,
10532,Sarpa salpa ,Salema,image10532.jpg,
10615,Ammodytes spp,Sandeel,image10615.jpg,
10641,Scomber japonicus,Chub mackerel,image10641.jpg,
10642,Scomber scombrus,Mackerel,image10642.jpg,
10683,Crystallogobius,Chrystal goby,image10683.jpg,
10737,Eutrigla/chelidonichthys gurnardus,Gray gurnard,image10737.jpg,
10768,Microstomus kitt,Lemon sole,image10768.jpg,
10816,Mola mola,Moon-fish,image10816.jpg,
20021,Pasiphaea,,image20021.jpg,
20202,Decapoda,,image20202.jpg,
20203,Natantia,Sinonimos,image20203.jpg,
